Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
21-03-2020,Albania,,76,2,2
22-03-2020,Albania,,89,2,2
23-03-2020,Albania,,104,2,4
24-03-2020,Albania,,123,10,5
25-03-2020,Albania,,146,17,5
26-03-2020,Albania,,174,17,6
27-03-2020,Albania,,186,31,8
28-03-2020,Albania,,197,31,10
29-03-2020,Albania,,212,33,10
30-03-2020,Albania,,223,44,11
31-03-2020,Albania,,243,52,15
01-04-2020,Albania,,259,67,15
02-04-2020,Albania,,277,76,16
03-04-2020,Albania,,304,89,17
04-04-2020,Albania,,333,99,20
05-04-2020,Albania,,361,104,20
06-04-2020,Albania,,377,116,21
07-04-2020,Albania,,383,131,22
08-04-2020,Albania,,400,154,22
09-04-2020,Albania,,409,165,23
10-04-2020,Albania,,416,182,23
11-04-2020,Albania,,433,197,23
22-01-2020,Algeria,,0,0,0
23-01-2020,Algeria,,0,0,0
24-01-2020,Algeria,,0,0,0
25-01-2020,Algeria,,0,0,0
26-01-2020,Algeria,,0,0,0
27-01-2020,Algeria,,0,0,0
28-01-2020,Algeria,,0,0,0
29-01-2020,Algeria,,0,0,0
30-01-2020,Algeria,,0,0,0
31-01-2020,Algeria,,0,0,0
01-02-2020,Algeria,,0,0,0
02-02-2020,Algeria,,0,0,0
03-02-2020,Algeria,,0,0,0
04-02-2020,Algeria,,0,0,0
05-02-2020,Algeria,,0,0,0
06-02-2020,Algeria,,0,0,0
07-02-2020,Algeria,,0,0,0
08-02-2020,Algeria,,0,0,0
09-02-2020,Algeria,,0,0,0
10-02-2020,Algeria,,0,0,0
11-02-2020,Algeria,,0,0,0
12-02-2020,Algeria,,0,0,0
13-02-2020,Algeria,,0,0,0
14-02-2020,Algeria,,0,0,0
15-02-2020,Algeria,,0,0,0
16-02-2020,Algeria,,0,0,0
17-02-2020,Algeria,,0,0,0
18-02-2020,Algeria,,0,0,0
19-02-2020,Algeria,,0,0,0
20-02-2020,Algeria,,0,0,0
21-02-2020,Algeria,,0,0,0
22-02-2020,Algeria,,0,0,0
23-02-2020,Algeria,,0,0,0
24-02-2020,Algeria,,0,0,0
25-02-2020,Algeria,,1,0,0
26-02-2020,Algeria,,1,0,0
27-02-2020,Algeria,,1,0,0
28-02-2020,Algeria,,1,0,0
29-02-2020,Algeria,,1,0,0
01-03-2020,Algeria,,1,0,0
02-03-2020,Algeria,,3,0,0
03-03-2020,Algeria,,5,0,0
04-03-2020,Algeria,,12,0,0
05-03-2020,Algeria,,12,0,0
06-03-2020,Algeria,,17,0,0
07-03-2020,Algeria,,17,0,0
08-03-2020,Algeria,,19,0,0
09-03-2020,Algeria,,20,0,0
10-03-2020,Algeria,,20,0,0
11-03-2020,Algeria,,20,0,0
12-03-2020,Algeria,,24,8,1
13-03-2020,Algeria,,26,8,2
14-03-2020,Algeria,,37,12,3
15-03-2020,Algeria,,48,12,4
16-03-2020,Algeria,,54,12,4
17-03-2020,Algeria,,60,12,4
18-03-2020,Algeria,,74,12,7
19-03-2020,Algeria,,87,32,9
20-03-2020,Algeria,,90,32,11
21-03-2020,Algeria,,139,32,15
22-03-2020,Algeria,,201,65,17
23-03-2020,Algeria,,230,65,17
24-03-2020,Algeria,,264,24,19
25-03-2020,Algeria,,302,65,21
26-03-2020,Algeria,,367,29,25
27-03-2020,Algeria,,409,29,26
28-03-2020,Algeria,,454,31,29
29-03-2020,Algeria,,511,31,31
30-03-2020,Algeria,,584,37,35
31-03-2020,Algeria,,716,46,44
01-04-2020,Algeria,,847,61,58
02-04-2020,Algeria,,986,61,86
03-04-2020,Algeria,,1171,62,105
04-04-2020,Algeria,,1251,90,130
05-04-2020,Algeria,,1320,90,152
06-04-2020,Algeria,,1423,90,173
07-04-2020,Algeria,,1468,113,193
08-04-2020,Algeria,,1572,237,205
09-04-2020,Algeria,,1666,347,235
10-04-2020,Algeria,,1761,405,256
11-04-2020,Algeria,,1825,460,275
22-01-2020,Andorra,,0,0,0
23-01-2020,Andorra,,0,0,0
24-01-2020,Andorra,,0,0,0
25-01-2020,Andorra,,0,0,0
26-01-2020,Andorra,,0,0,0
27-01-2020,Andorra,,0,0,0
28-01-2020,Andorra,,0,0,0
29-01-2020,Andorra,,0,0,0
30-01-2020,Andorra,,0,0,0
31-01-2020,Andorra,,0,0,0
01-02-2020,Andorra,,0,0,0
02-02-2020,Andorra,,0,0,0
03-02-2020,Andorra,,0,0,0
04-02-2020,Andorra,,0,0,0
05-02-2020,Andorra,,0,0,0
06-02-2020,Andorra,,0,0,0
07-02-2020,Andorra,,0,0,0
08-02-2020,Andorra,,0,0,0
09-02-2020,Andorra,,0,0,0
10-02-2020,Andorra,,0,0,0
11-02-2020,Andorra,,0,0,0
12-02-2020,Andorra,,0,0,0
13-02-2020,Andorra,,0,0,0
14-02-2020,Andorra,,0,0,0
15-02-2020,Andorra,,0,0,0
16-02-2020,Andorra,,0,0,0
17-02-2020,Andorra,,0,0,0
18-02-2020,Andorra,,0,0,0
19-02-2020,Andorra,,0,0,0
20-02-2020,Andorra,,0,0,0
21-02-2020,Andorra,,0,0,0
22-02-2020,Andorra,,0,0,0
23-02-2020,Andorra,,0,0,0
24-02-2020,Andorra,,0,0,0
25-02-2020,Andorra,,0,0,0
26-02-2020,Andorra,,0,0,0
27-02-2020,Andorra,,0,0,0
28-02-2020,Andorra,,0,0,0
29-02-2020,Andorra,,0,0,0
01-03-2020,Andorra,,0,0,0
02-03-2020,Andorra,,1,0,0
03-03-2020,Andorra,,1,0,0
04-03-2020,Andorra,,1,0,0
05-03-2020,Andorra,,1,0,0
06-03-2020,Andorra,,1,0,0
07-03-2020,Andorra,,1,0,0
08-03-2020,Andorra,,1,0,0
09-03-2020,Andorra,,1,0,0
10-03-2020,Andorra,,1,0,0
11-03-2020,Andorra,,1,0,0
12-03-2020,Andorra,,1,1,0
13-03-2020,Andorra,,1,0,0
14-03-2020,Andorra,,1,1,0
15-03-2020,Andorra,,1,1,0
16-03-2020,Andorra,,2,1,0
17-03-2020,Andorra,,39,1,0
18-03-2020,Andorra,,39,1,0
19-03-2020,Andorra,,53,1,0
20-03-2020,Andorra,,75,1,0
21-03-2020,Andorra,,88,1,0
22-03-2020,Andorra,,113,1,1
23-03-2020,Andorra,,133,1,1
24-03-2020,Andorra,,164,1,1
25-03-2020,Andorra,,188,1,1
26-03-2020,Andorra,,224,1,3
27-03-2020,Andorra,,267,1,3
28-03-2020,Andorra,,308,1,3
29-03-2020,Andorra,,334,1,6
30-03-2020,Andorra,,370,10,8
31-03-2020,Andorra,,376,10,12
01-04-2020,Andorra,,390,10,14
02-04-2020,Andorra,,428,10,15
03-04-2020,Andorra,,439,16,16
04-04-2020,Andorra,,466,21,17
05-04-2020,Andorra,,501,26,18
06-04-2020,Andorra,,525,31,21
07-04-2020,Andorra,,545,39,22
08-04-2020,Andorra,,564,52,23
09-04-2020,Andorra,,583,58,25
10-04-2020,Andorra,,601,71,26
11-04-2020,Andorra,,601,71,26
22-01-2020,Angola,,0,0,0
23-01-2020,Angola,,0,0,0
24-01-2020,Angola,,0,0,0
25-01-2020,Angola,,0,0,0
26-01-2020,Angola,,0,0,0
27-01-2020,Angola,,0,0,0
28-01-2020,Angola,,0,0,0
29-01-2020,Angola,,0,0,0
30-01-2020,Angola,,0,0,0
31-01-2020,Angola,,0,0,0
01-02-2020,Angola,,0,0,0
02-02-2020,Angola,,0,0,0
03-02-2020,Angola,,0,0,0
04-02-2020,Angola,,0,0,0
05-02-2020,Angola,,0,0,0
06-02-2020,Angola,,0,0,0
07-02-2020,Angola,,0,0,0
08-02-2020,Angola,,0,0,0
09-02-2020,Angola,,0,0,0
10-02-2020,Angola,,0,0,0
11-02-2020,Angola,,0,0,0
12-02-2020,Angola,,0,0,0
13-02-2020,Angola,,0,0,0
14-02-2020,Angola,,0,0,0
15-02-2020,Angola,,0,0,0
16-02-2020,Angola,,0,0,0
